ncm;artigo;pagina;trecho
87142000;76;25;"ei nº 10.865, de 2004, art. 28, inciso XXII, incluído pela Lei nº 12.649, de 2012, art. 1º); VII - partes e acessórios de cadeiras de rodas ou outros veículos para inválidos classi fi cados no código 8714.20.00 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXII, incluído pela Lei nº 12.649, de 2012, art. 1º); VIII -"
90214000;76;25;"código 8714.20.00 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXII, incluído pela Lei nº 12.649, de 2012, art. 1º); VIII - aparelhos para facilitar a audição dos surdos classi fi cados no código 9021.40.00 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXII, incluído pela Lei nº 12.649, de 2012, art. 1º); IX - o"
90219013;76;25;"s classi fi cados no código 9021.40.00 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXII, incluído pela Lei nº 12.649, de 2012, art. 1º); IX - oclusores interauriculares classi fi cados no código 9021.90.13 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXII, incluído pela Lei nº 12.649, de 2012, art. 1º); X - pa"
90219092;76;25;"9021.90.13 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXII, incluído pela Lei nº 12.649, de 2012, art. 1º); X - partes e acessórios para facilitar a audição dos surdos classi fi cados no código 9021.90.92 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXII, incluído pela Lei nº 12.649, de 2012, art. 1º); XI - c"
84701000;76;25;" código 9021.90.92 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXII, incluído pela Lei nº 12.649, de 2012, art. 1º); XI - calculadoras equipadas com sintetizador de voz classi fi cadas no código 8470.10.00 Ex 01 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXIII, incluído pela Lei nº 12.649, de 2012, art. 1º);"
84716052;76;25;"º 10.865, de 2004, art. 28, inciso XXIII, incluído pela Lei nº 12.649, de 2012, art. 1º); XII - teclados com adaptações especí fi cas para uso por pessoas com de fi ciência, classi fi cados no código 8471.60.52 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXIV, incluído pela Lei nº 12.649, de 2012, art. 1º); XIII -"
84716053;76;25;" 28, inciso XXIV, incluído pela Lei nº 12.649, de 2012, art. 1º); XIII - indicador ou apontador - mouse - com adaptações especí fi cas para uso por pessoas com de fi ciência, classi fi cado no código 8471.60.53 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXV, incluído pela Lei nº 12.649, de 2012, art. 1º); XIV - l"
84716090;76;25;"de fi ciência, classi fi cado no código 8471.60.53 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXV, incluído pela Lei nº 12.649, de 2012, art. 1º); XIV - linhas Braille classi fi cadas no código 8471.60.90 Ex 01 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXVI, incluído pela Lei nº 12.649, de 2012, art. 1º); "
84719014;76;25;"(Lei nº 10.865, de 2004, art. 28, inciso XXVI, incluído pela Lei nº 12.649, de 2012, art. 1º); XV - digitalizadores de imagens - scanners - equipados com sintetizador de voz classi fi cados no código 8471.90.14 Ex 01 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXVII, incluído pela Lei nº 12.649, de 2012, art. 1º);"
84721000;76;25;"classi fi cados no código 8471.90.14 Ex 01 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXVII, incluído pela Lei nº 12.649, de 2012, art. 1º); XVI - duplicadores Braille classi fi cados no código 8472.10.00 Ex 01 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXVIII, incluído pela Lei nº 12.649, de 2012, art. 1º)"
