ncm;tratamento;reducao;norma;dispositivo;trecho
11041900;zero;0;"Lei Complementar 214/2025";"Anexo I, item 12";"Grãos de milho classificados no código 1104.19.00 e do código 1104.23.00 da NCM/SH"
11010010;zero;0;"Lei Complementar 214/2025";"Anexo I, item 13";"Farinha de trigo do código 1101.00.10 da NCM/SH"
17019900;zero;0;"Lei Complementar 214/2025";"Anexo I, item 14";"Açúcar classificado nos códigos 1701.14.00 e 1701.99.00 da NCM/SH"
17011400;zero;0;"Lei Complementar 214/2025";"Anexo I, item 14";"Açúcar classificado nos códigos 1701.14.00 e 1701.99.00 da NCM/SH"
19021;zero;0;"Lei Complementar 214/2025";"Anexo I, item 15";"Massas alimentícias da subposição 1902.1 da NCM/SH"
19012010;zero;0;"Lei Complementar 214/2025";"Anexo I, item 16";"Pão comumente denominado pão francês, de formato cilíndrico e alongado, com miolo branco creme e macio, e casca dourada e crocante, elaborado a partir da mistura ou pré-mistura de farinha de trigo, fermento biológico, água, sal, açúcar, aditivos alimentares e produtos de fortificação de farinhas, em conformidade com a legislação vigente, classificado no código 1905.90.90 da NCM/SH e a pré-mistura ou massa, para preparação do pão comumente denominado pão francês, dos códigos 1901.20.10 e 1901.20.90 da NCM/SH"
19059090;zero;0;"Lei Complementar 214/2025";"Anexo I, item 16";"Pão comumente denominado pão francês, de formato cilíndrico e alongado, com miolo branco creme e macio, e casca dourada e crocante, elaborado a partir da mistura ou pré-mistura de farinha de trigo, fermento biológico, água, sal, açúcar, aditivos alimentares e produtos de fortificação de farinhas, em conformidade com a legislação vigente, classificado no código 1905.90.90 da NCM/SH e a pré-mistura ou massa, para preparação do pão comumente denominado pão francês, dos códigos 1901.20.10 e 1901.20.90 da NCM/SH"
19012090;zero;0;"Lei Complementar 214/2025";"Anexo I, item 16";"Pão comumente denominado pão francês, de formato cilíndrico e alongado, com miolo branco creme e macio, e casca dourada e crocante, elaborado a partir da mistura ou pré-mistura de farinha de trigo, fermento biológico, água, sal, açúcar, aditivos alimentares e produtos de fortificação de farinhas, em conformidade com a legislação vigente, classificado no código 1905.90.90 da NCM/SH e a pré-mistura ou massa, para preparação do pão comumente denominado pão francês, dos códigos 1901.20.10 e 1901.20.90 da NCM/SH"
11041200;zero;0;"Lei Complementar 214/2025";"Anexo I, item 17";"Grãos de aveia dos códigos 1104.12.00 e 1104.22.00 da NCM/SH"
11042200;zero;0;"Lei Complementar 214/2025";"Anexo I, item 17";"Grãos de aveia dos códigos 1104.12.00 e 1104.22.00 da NCM/SH"
