ncm;cest;mva;aliq_interna;op_interna;segmento;norma;dispositivo;trecho
7325;0102100;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00"
780600;0102200;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Peso de chumbo para balanceamento de roda"
80070090;0102300;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Peso para balanceamento de roda e outros utensílios de estanho"
830120;0102400;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Fechaduras e partes de fechaduras"
830160;0102400;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Fechaduras e partes de fechaduras"
830170;0102500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Chaves apresentadas isoladamente"
83021000;0102600;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns"
83023000;0102600;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns"
831000;0102700;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Triângulo de segurança"
84073;0102800;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87"
840820;0102900;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Motores dos tipos utilizados para propulsão de veículos automotores"
84099;0103000;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408"
84122;0103100;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Motores hidráulicos"
841330;0103200;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão"
84141000;0103300;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Bombas de vácuo"
8414801;0103400;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Compressores e turbocompressores de ar"
8414802;0103400;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Compressores e turbocompressores de ar"
84139190;0103500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00"
84149010;0103500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00"
8414903;0103500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00"
