segmento;anexo;item;cest;ncm;descricao;op_interna;protocolo;legislacao;mva4;mva7;mva12;mva_int;mva2_4;mva2_7;mva2_12;mva2_int;mva_ns4;mva_ns7;mva_ns12;mva_imp;pfc;aliq_interna;fecoep;aliq_txt;vigencia;versao
AUTOPEÇAS;II;15;0101500;70071100;Vidros de dimensões e formatos que permitam aplicação automotiva;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;15;0101500;70072100;Vidros de dimensões e formatos que permitam aplicação automotiva;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;16;0101600;70091000;Espelhos retrovisores;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;17;0101700;70140000;Lentes de faróis, lanternas e outros utensílios;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;18;0101800;73110000;Cilindro de aço para GNV (gás natural veicular);S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;19;0101900;73110000;Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;20;0102000;7320;Molas e folhas de molas, de ferro ou aço;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;21;0102100;7325;Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;22;0102200;780600;Peso de chumbo para balanceamento de roda;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;23;0102300;80070090;Peso para balanceamento de roda e outros utensílios de estanho;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
